"Sample","guild_fg","Guild_Count","RelAbund"
"HC2","Ectomycorrhizal",137,0.0246004668701742
"HC2","Ectomycorrhizal-Wood Saprotroph",0,0
"HC2","Ectomycorrhizal;Ectomycorrhizal-Undefined Saprotroph;Wood Saprotroph;Undefined Saprotroph",0,0
"HC2","Ectomycorrhizal;Undefined Saprotroph",11,0.00197521996767822
"HC2","Endophyte",45,0.00808044532231999
"HC2","Endophyte-Fungal Parasite-Plant Pathogen;Endophyte;Animal Pathogen;Endophyte-Plant Pathogen",0,0
"HC2","Endophyte-Undefined Saprotroph",0,0
"HC2","Ericoid Mycorrhizal",0,0
"HC2","Ericoid Mycorrhizal;Endophyte",0,0
"HC2","Fungal Parasite",0,0
"HC2","Fungal Parasite;Lichen Parasite",0,0
"HC2","Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph;Litter Saprotroph;Leaf Saprotroph",0,0
"HC2","Leaf Saprotroph-Wood Saprotroph;Bryophyte Parasite-Leaf Saprotroph-Wood Saprotroph;Wood Saprotroph",7,0.00125695816124978
"HC2","Lichenized",23,0.00413000538696355
"HC2","Litter Saprotroph",0,0
"HC2","Litter Saprotroph;Undefined Saprotroph",0,0
"HC2","Orchid Mycorrhizal",91,0.0163404560962471
"HC2","Plant Pathogen",93,0.0166995869994613
"HC2","Plant Pathogen;Animal Pathogen;Endophyte",15,0.00269348177410666
"HC2","Soil Saprotroph",0,0
"HC2","Undefined Saprotroph",588,0.105584485544981
"HC2","Wood Saprotroph",0,0
"HC2",NA,4559,0.818638893876818
"HC3","Animal Pathogen-Undefined Saprotroph",0,0
"HC3","Animal Pathogen-Undefined Saprotroph;Animal Pathogen",0,0
"HC3","Animal Pathogen;Endophyte-Plant Pathogen;Plant Pathogen",0,0
"HC3","Dung Saprotroph-Endophyte",0,0
"HC3","Ectomycorrhizal",452,0.0275811569441054
"HC3","Ectomycorrhizal-Wood Saprotroph",0,0
"HC3","Ectomycorrhizal;Ectomycorrhizal-Undefined Saprotroph;Wood Saprotroph;Undefined Saprotroph",0,0
"HC3","Ectomycorrhizal;Undefined Saprotroph",0,0
"HC3","Endophyte",269,0.0164144495972663
