Variable	Description	Units	Method / Notes	Appears in
Dsp	Dicranum sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
UM7	Gymnomitrion coralloides	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Hs	Hylocomium splendens	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
UM2	Pleurozium schreberi	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Pa	Polytrichum sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Pc	Ptilidium ciliare	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Rl	Racomitrium lanuginosum	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Su	Sanionia uncinata	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
UM5	Tetralophozia setiformis	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
G1	Carex bigelowii	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
S1	Festuca rubra	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Jt	Juncus trifidus	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
La	Luzula arcuata	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Bv	Bistorta vivipara	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Dl	Diapensia lapponica	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Hcel	Huperzia selago	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Pl	Pedicularis lapponica	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
